pdb_id,docking_case,bound_path,unbound_pro_path,unbound_rna_path,bound_pro_chain,unbound_pro_chain,bound_rna_chain,unbound_rna_chain,status
2JLU,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2JLU/2JLU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2JLU/2JLQ.pdb,,A,A,C,,Success
2PY9,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2PY9/2PY9.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2PY9/2JZX.pdb,,B,A,E,,Success
2Q66,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2Q66/2Q66.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2Q66/2HHP.pdb,,A,A,X,,Success
2R7R,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2R7R/2R7R.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2R7R/2R7Q.pdb,,A,A,X,,Success
2XGJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XGJ/2XGJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XGJ/4U4C.pdb,,A,A,C,,Success
2XNR,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XNR/2XNR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XNR/2XNQ.pdb,,A,A,C,,Success
2XZO,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XZO/2XZO.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2XZO/2XZP.pdb,,A,A,D,,Success
3AEV,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3AEV/3AEV.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3AEV/2E3U.pdb,,B,A,C,,Success
3BX2,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BX2/3BX2.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BX2/3BWT.pdb,,A,A,C,,Success
3D2S,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3D2S/3D2S.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3D2S/3D2Q.pdb,,A,A,E,,Success
3MDG,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3MDG/3MDG.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3MDG/3BAP.pdb,,AB,AC,C,,Success
3NMR,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3NMR/3NMR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3NMR/2DHS.pdb,,A,A,B,,Success
3O8C,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3O8C/3O8C.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3O8C/3O8B.pdb,,A,A,C,,Success
3PF4,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3PF4/3PF4.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3PF4/1CSP.pdb,,B,A,R,,Success
3QJJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3QJJ/3QJJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3QJJ/3UFC.pdb,,A,X,Q,,Success
3RC8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3RC8/3RC8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3RC8/3RC3.pdb,,A,A,E,,Success
4E78,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4E78/4E78.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4E78/4E76.pdb,,A,A,PT,,Success
4H5P,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4H5P/4H5P.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4H5P/3LYF.pdb,,AB,AB,E,,Success
4HOR,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4HOR/4HOR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4HOR/4HOQ.pdb,,A,A,X,,Success
4J7M,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4J7M/4J7M.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4J7M/4J7N.pdb,,A,A,B,,Success
4M59,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4M59/4M59.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4M59/4M57.pdb,,AB,AB,CD,,Success
4MDX,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4MDX/4MDX.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4MDX/1NE8.pdb,,AB,AD,C,,Success
4N2Q,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4N2Q/4N2Q.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4N2Q/4ME2.pdb,,A,A,B,,Success
4QU6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4QU6/4QU6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4QU6/2LMI.pdb,,A,A,B,,Success
5DET,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5DET/5DET.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5DET/5CYJ.pdb,,AB,AB,PQ,,Success
5EIM,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5EIM/5EIM.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5EIM/5H8A.pdb,,A,A,HI,,Success
5ELS,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ELS/5ELS.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ELS/5EL3.pdb,,AC,AB,C,,Success
5EX7,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5EX7/5EX7.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5EX7/1Q7F.pdb,,A,A,B,,Success
5GXH,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5GXH/5GXH.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5GXH/5TEE.pdb,,A,A,B,,Success
5LTA,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5LTA/5LTA.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5LTA/5D0U.pdb,,A,A,E,,Success
5SZE,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5SZE/5SZE.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5SZE/5SZD.pdb,,A,A,C,,Success
5V7C,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5V7C/5V7C.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5V7C/5V87.pdb,,B,A,C,,Success
5W0M,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5W0M/5W0M.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5W0M/5W0B.pdb,,A,A,H,,Success
5WWX,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WWX/5WWX.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WWX/5WWZ.pdb,,A,A,C,,Success
5ZSC,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZSC/5ZSC.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZSC/6IF5.pdb,,A,A,C,,Success
6A4E,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6A4E/6A4E.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6A4E/6A4D.pdb,,A,A,B,,Success
6A6J,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6A6J/6A6J.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6A6J/6LMS.pdb,,A,A,B,,Success
6GC5,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6GC5/6GC5.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6GC5/6GD1.pdb,,A,A,E,,Success
6HAU,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6HAU/6HAU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6HAU/6HAT.pdb,,AB,AB,D,,Success
6I0V,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6I0V/6I0V.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6I0V/6I0S.pdb,,A,A,B,,Success
6L1W,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6L1W/6L1W.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6L1W/3U9G.pdb,,A,A,C,,Success
6LLB,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LLB/6LLB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LLB/5HAA.pdb,,A,A,C,,Success
6R9P,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6R9P/6R9P.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6R9P/6R9I.pdb,,A,A,B,,Success
6U9X,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6U9X/6U9X.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6U9X/6NL1.pdb,,D,A,H,,Success
6L5N,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6L5N/6L5N.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6L5N/6L5M.pdb,,A,A,C,,Success
6LT7,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LT7/6LT7.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LT7/6CWX.pdb,,B,AB,C,,Success
6U6Y,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6U6Y/6U6Y.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6U6Y/5AO3.pdb,,AD,AD,EH,,Success
6WXY,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6WXY/6WXY.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6WXY/6WXW.pdb,,BC,AB,A,,Success
6ZOT,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6ZOT/6ZOT.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6ZOT/8BS5.pdb,,A,A,C,,Success
7C45,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7C45/7C45.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7C45/7C42.pdb,,A,A,D,,Success
7DOL,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7DOL/7DOL.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7DOL/7DCY.pdb,,A,A,C,,Success
7K5L,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7K5L/7K5L.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7K5L/4LDM.pdb,,A,A,R,,Success
7EIU,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7EIU/7EIU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7EIU/7EIO.pdb,,A,A,C,,Success
7KL3,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KL3/7KL3.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KL3/5CZN.pdb,,A,A,B,,Success
7L6T,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7L6T/7L6T.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7L6T/7C2I.pdb,,A,A,C,,Success
7V4G,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7V4G/7V4G.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7V4G/4O61.pdb,,A,A,D,,Success
7VSJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VSJ/7VSJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VSJ/6FQ1.pdb,,A,A,B,,Success
7VKI,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VKI/7VKI.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VKI/2DHA.pdb,,A,A,B,,Success
7VKL,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VKL/7VKL.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7VKL/6GQE.pdb,,A,A,B,,Success
7Y7Q,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7Y7Q/7Y7Q.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7Y7Q/2J7N.pdb,,AB,AB,CED,,Success
8DZK,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8DZK/8DZK.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8DZK/5K71.pdb,,A,A,F,,Success
8EDJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8EDJ/8EDJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8EDJ/6P3X.pdb,,A,A,R,,Success
8AXF,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8AXF/8AXF.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8AXF/8AX4.pdb,,ABCD,ABCD,Q,,Success
8TG4,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8TG4/8TG4.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8TG4/8TG3.pdb,,A,A,C,,Success
2ZM5,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZM5/2ZM5.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZM5/3L0U.pdb,A,,C,A,Success
3ZJT,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3ZJT/3ZJT.pdb,,,A,,B,F,Success
6AAX,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6AAX/6AAX.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6AAX/6AAS.pdb,A,,B,A,Success
1HQ1,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1HQ1/1HQ1.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1HQ1/1DUH.pdb,A,,B,A,Success
1JID,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1JID/1JID.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1JID/1D4R.pdb,A,,B,A,Success
2PJP,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2PJP/2PJP.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2PJP/1MFK.pdb,A,,B,A,Success
3BT7,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BT7/3BT7.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BT7/1EVV.pdb,A,,C,A,Success
6HTU,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6HTU/6HTU.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6HTU/6HU6.pdb,ABC,,DF,AE,Success
1LNG,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1LNG/1LNG.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1LNG/1Z43.pdb,A,,B,A,Success
2I82,BU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2I82/2I82.pdb,,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2I82/3L0U.pdb,A,,E,A,Success
